system:index,countyears,cropland_mode,first,longitude,system:indexviejuno,.geo
2013_362,6.0,24.0,61,-102.66544446581833,12826.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.6654445,36.1010904]}"
2013_528,7.0,24.0,24,-102.56249753425823,18856.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.5624975,35.9598752]}"
2013_508,6.0,24.0,61,-102.30270475409085,18295.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.3027048,36.2398801]}"
2013_1757,6.0,24.0,4,-102.42316883369128,63023.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.4231688,36.1622657]}"
2013_239,5.0,24.0,61,-102.27306034971491,8191.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2730603,36.0784529]}"
2013_236,6.0,24.0,24,-102.24152948324232,8114.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2415295,36.0062283]}"
2013_1142,5.0,24.0,24,-102.21781395974156,40740.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.217814,35.9870942]}"
2013_750,6.0,24.0,176,-102.21700547598586,26680.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2170055,36.3131826]}"
2013_1050,6.0,24.0,176,-102.29381143277807,37355.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2938114,36.4142431]}"
2013_1045,8.0,24.0,61,-102.23506161319666,37183.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.2350616,36.4961695]}"
2013_565,5.0,24.0,24,-102.00383525906429,19913.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.0038353,36.6584052]}"
2013_1947,8.0,24.0,24,-101.89091702785046,70248.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.890917,36.5886061]}"
2013_758,6.0,24.0,24,-101.91005114340221,27002.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.9100511,36.4643691]}"
2013_674,6.0,24.0,24,-101.76021215401107,23927.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.7602122,36.4738014]}"
2013_1746,5.0,24.0,24,-101.54892839918617,62481.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.5489284,36.6597527]}"
2013_1426,7.0,24.0,4,-101.39612496935743,51245.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.396125,36.6255269]}"
2013_127,9.0,24.0,24,-101.54973688294187,4413.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.5497369,36.4258314]}"
2013_738,6.0,24.0,61,-101.66993146795707,26399.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.6699315,36.467064]}"
2013_1185,6.0,24.0,176,-101.49368200921282,42357.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.493682,36.3633086]}"
2013_32,6.0,24.0,24,-101.43439320046093,1276.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.4343932,36.3352812]}"
2013_1209,7.0,24.0,4,-101.43601016797234,43490.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.4360102,36.3821732]}"
2013_433,6.0,24.0,24,-101.37752984297616,15554.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.3775298,36.343905]}"
2013_952,10.0,24.0,24,-101.39127406682319,34175.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.3912741,36.3021334]}"
2013_1204,10.0,24.0,24,-101.44678995138177,43361.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.44679,36.3026723]}"
2013_617,5.0,24.0,24,-101.49152605253093,22042.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.4915261,36.2881196]}"
2013_99,10.0,24.0,24,-101.51658904895787,3301.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.516589,36.2560498]}"
2013_903,9.0,24.0,24,-101.47346991532012,32867.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.4734699,36.1902931]}"
2013_446,6.0,24.0,24,-101.59016107072725,15996.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.5901611,36.118877]}"
2013_1615,8.0,24.0,24,-101.62411738846697,57514.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.6241174,36.1916406]}"
2013_765,9.0,24.0,24,-101.8836406740491,27281.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.8836407,36.2102357]}"
2013_1350,10.0,24.0,24,-102.01299807496231,48587.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.0129981,36.2064628]}"
2013_957,10.0,24.0,24,-101.94697190157953,34364.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.9469719,36.1784353]}"
2013_343,5.0,24.0,24,-101.98550962726826,12097.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.9855096,35.9992214]}"
2013_1025,8.0,24.0,24,-102.05207478982152,36381.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.0520748,35.948826]}"
2013_308,5.0,24.0,24,-101.918944464715,10963.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.9189445,35.9345427]}"
2013_180,10.0,24.0,24,-101.9084341758908,6052.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.9084342,35.9841297]}"
2013_998,6.0,24.0,4,-101.85022334547986,35579.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.8502233,35.8997779]}"
2013_1572,8.0,24.0,24,-102.07013092703231,56329.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.0701309,35.7685341]}"
2013_1495,10.0,24.0,24,-102.06743598117995,53753.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-102.067436,35.7674561]}"
2013_1122,6.0,24.0,24,-101.5559352584023,40012.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.5559353,35.9086713]}"
2013_1261,5.0,24.0,236,-101.70415728028202,45415.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.7041573,35.9854772]}"
2013_1812,9.0,24.0,24,-101.34519049274786,65043.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.3451905,35.995718]}"
2013_1084,7.0,24.0,61,-101.20559229759569,38572.0,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-101.2055923,36.0385677]}"
